證券名稱	簡稱	年月	市場風險溢酬	規模溢酬	淨值市價比溢酬	動能因子	無風險利率
Y9999  	上市         	200604	   8.3148	   2.6060	   2.7011	  -1.8204	 2.060
Y9999  	上市         	200605	  -4.6313	   4.7353	   3.2905	  -3.7239	 2.060
Y9999  	上市         	200606	  -1.4864	  -3.9315	  -1.6881	  -0.1845	 2.060
Y9999  	上市         	200607	  -2.2037	   1.9636	  -1.5587	   3.8070	 2.130
Y9999  	上市         	200608	   3.3108	  -0.2961	  -8.8510	   4.2843	 2.130
Y9999  	上市         	200609	   4.3117	  -3.0711	   4.4286	   1.1307	 2.130
Y9999  	上市         	200610	   1.9330	   6.0480	   6.2605	   1.0380	 2.200
Y9999  	上市         	200611	   7.5925	   3.9191	   8.4949	  -0.0634	 2.200
Y9999  	上市         	200612	   3.2341	   6.7674	   5.9168	  -2.6655	 2.200
Y9999  	上市         	200701	  -1.9368	   2.5866	  -9.2386	  -0.4319	 2.230
Y9999  	上市         	200702	   2.2026	   1.7731	   0.9341	   2.7330	 2.230
Y9999  	上市         	200703	  -0.2592	  10.2583	  -3.7906	  -0.8252	 2.230
Y9999  	上市         	200704	  -0.5143	  -1.5719	   5.8912	  -3.4883	 2.260
Y9999  	上市         	200705	   3.1549	   1.9692	  -4.7871	   3.8935	 2.260
Y9999  	上市         	200706	   9.2398	   2.0144	   0.1965	  -0.5309	 2.460
Y9999  	上市         	200707	   5.8849	   6.8302	   4.4880	   9.6064	 2.460
Y9999  	上市         	200708	  -2.9551	  -5.5595	  -1.9856	   1.6665	 2.460
Y9999  	上市         	200709	   5.2976	  -2.4141	   4.9402	   1.6247	 2.530
Y9999  	上市         	200710	   2.1977	 -10.5798	   0.9740	  -6.9028	 2.530
Y9999  	上市         	200711	 -11.8010	  -1.8871	  -0.1014	  -7.0839	 2.530
Y9999  	上市         	200712	  -1.4690	  -1.6916	  -0.8861	  -0.5957	 2.610
Y9999  	上市         	200801	 -11.1777	  -1.5861	   6.4036	  -7.4664	 2.610
Y9999  	上市         	200802	  11.4426	   2.7193	   5.5564	   2.7038	 2.610
Y9999  	上市         	200803	   1.8532	   2.9734	   2.6585	   1.0206	 2.610
Y9999  	上市         	200804	   3.6703	   2.0760	  -0.2430	  -1.1672	 2.650
Y9999  	上市         	200805	  -3.5575	   1.3427	   0.8624	   2.1533	 2.650
Y9999  	上市         	200806	 -12.3367	  -4.5766	  -2.8885	   4.4758	 2.650
